memberId,memberLat,memberLon,eventId,eventTime,eventYesRSVPCount,groupId,venueId,venueLat,venueLon,rsvpTime,rsvpResponse,rsvpRating,eventDay,eventPeriod
194046238,38.73,-77.11,vglpllyvkbkb,1467936000000,1,1608212,24159225,38.849464416503906,-77.05329132080078,1445222571000,yes,1,THURSDAY,EVENING
13796980,38.91,-77.02,qtlwklywfbzb,1489941000000,28,84358,1284496,38.9031982421875,-77.05191040039062,1442791402000,yes,1,SUNDAY,DAY
184641900,38.91,-77.02,jjdwglytqbkb,1461448800000,619,1513747,13657312,38.90832138061523,-77.0421142578125,1438574790000,no,0,SATURDAY,EVENING
183552867,38.89,-77.1,lchphlyvhbgc,1464138000000,2,1608212,23845582,38.89214324951172,-77.08381652832031,1433889334000,yes,1,TUESDAY,EVENING
1494356,38.86,-77.1,229655658,1461884400000,93,17917292,19876132,38.9105110168457,-77.04415893554688,1458263709000,no,0,THURSDAY,EVENING
12301849,38.9,-77.05,dqkpdhyvqbxb,1482082200000,26,54676,1284496,38.9031982421875,-77.05191040039062,1454653059000,yes,1,SUNDAY,DAY
121293,38.92,-77.04,czfqvyvqbhc,1482688800000,1,1300465,967872,38.93317413330078,-77.00039672851562,1309704827000,yes,1,SUNDAY,DAY
12301849,38.9,-77.05,qrgpdhyvjbzb,1466353800000,27,41291,1284496,38.9031982421875,-77.05191040039062,1384661239000,yes,1,SUNDAY,DAY
195749194,39.3,-76.73,230143522,1462402800000,31,18550893,23910942,0.0,0.0,1459867421000,yes,1,WEDNESDAY,EVENING
2184374,38.9,-77.05,dlgpdhywgbvb,1492360200000,27,186154,1284496,38.9031982421875,-77.05191040039062,1384660717000,yes,1,SUNDAY,DAY
174022622,38.89,-76.9,230303594,1463090400000,15,295310,24353977,38.89999771118164,-76.98867797851562,1460421424000,yes,1,THURSDAY,EVENING
192444667,38.88,-76.99,jdwxrlyvjbnb,1465549200000,1,18964583,23902962,38.90373229980469,-77.01722717285156,1459201308000,yes,1,FRIDAY,DAY
9619844,38.9,-77.26,qpwxgdyvjbhc,1466884800000,1,4574152,1140210,38.9217529296875,-77.0350341796875,1371480597000,yes,1,SATURDAY,DAY
9293657,38.9,-77.05,qpkpdhyvjbzb,1466353800000,27,99679,1284496,38.9031982421875,-77.05191040039062,1384667640000,yes,1,SUNDAY,DAY
195751653,38.88,-77.18,230529369,1463526000000,5,1287330,13783372,38.8765983581543,-77.30696868896484,1461245912000,no,0,TUESDAY,EVENING
66166782,38.91,-77.04,fhqsrlyvqbnc,1483110000000,1,3778172,1521547,39.11541748046875,-77.12776947021484,1458599487000,yes,1,FRIDAY,DAY
185340212,38.96,-77.07,jppmhlyvpbgb,1478302200000,1,18509281,24364808,38.90826416015625,-77.04279327392578,1433529434000,yes,1,FRIDAY,EVENING
11824352,38.95,-77.02,cjlqrlyvpbjc,1480186800000,1,19073180,24200007,38.87664031982422,-77.08670043945312,1458311310000,yes,1,SATURDAY,DAY
190213121,38.91,-77.02,cfqfklyvnbjc,1477498500000,1,18757473,24018732,38.9048957824707,-77.03653717041016,1440437931000,yes,1,WEDNESDAY,DAY
7675707,38.91,-76.99,228121336,1461531600000,45,13109182,18702932,0.0,0.0,1453657974000,yes,1,SUNDAY,DAY
2230592,38.96,-76.85,wpbwflyvhblc,1464460200000,1,17499592,16290752,38.85829162597656,-77.0494384765625,1425264352000,yes,1,SATURDAY,DAY
185188194,38.98,-77.08,sbzlrlywdbbc,1487602800000,2,18508884,20421122,38.91363525390625,-77.06568908691406,1457889279000,yes,1,MONDAY,DAY
196261489,39.2,-76.83,jfnqmlyvhbpb,1462959000000,12,1004592,8892822,39.16833114624024,-76.86670684814453,1454573277000,yes,1,WEDNESDAY,DAY
18169921,38.91,-77.02,230492881,1462451400000,65,2591172,24497894,38.88373565673828,-77.02445220947266,1461089038000,yes,1,THURSDAY,DAY
9577193,38.91,-77.02,dfmlchyvjbzb,1466353800000,27,146614,1284496,38.9031982421875,-77.05191040039062,1383794923000,yes,1,SUNDAY,DAY
199057632,38.91,-77.02,230148458,1461970800000,28,6555302,7090092,38.90194320678711,-77.0263671875,1459904262000,yes,1,FRIDAY,EVENING
6893986,42.37,-71.1,qkvrdkyvqbhc,1482675300000,2,158854,785514,38.85976028442383,-77.06069946289062,1406224336000,yes,1,SUNDAY,DAY
192033044,38.86,-77.06,ddfxjkytkbjb,1461448800000,737,1308467,13657312,38.90832138061523,-77.0421142578125,1444269674000,yes,1,SATURDAY,EVENING
184199127,38.89,-77.1,rqcqglywfbhb,1488761100000,1,18414167,22650182,38.87783432006836,-77.16299438476562,1429281349000,yes,1,SUNDAY,EVENING
1595272,38.82,-77.15,mthmllyvjbsb,1465948800000,2,288486,4709062,38.89818954467773,-77.0447006225586,1444807397000,yes,1,TUESDAY,EVENING
13797015,38.91,-77.02,dfmlchywcbtb,1484501400000,27,146614,1284496,38.9031982421875,-77.05191040039062,1383794923000,yes,1,SUNDAY,DAY
34440072,38.82,-77.06,hljzrlyvjblc,1467154800000,4,18397756,807180,38.84781265258789,-77.10784149169922,1459226415000,yes,1,TUESDAY,EVENING
12301849,38.9,-77.05,qrkpdhyvnbvb,1476635400000,27,361973,1284496,38.9031982421875,-77.05191040039062,1384667844000,yes,1,SUNDAY,DAY
197605874,38.93,-77.03,227775204,1462039200000,37,6280622,711442,38.88837814331055,-77.22798156738281,1459867659000,no,0,SATURDAY,DAY
13796980,38.91,-77.02,dbjpdhywdbzb,1487525400000,28,195518,1284496,38.9031982421875,-77.05191040039062,1384663657000,yes,1,SUNDAY,DAY
199980707,38.8,-77.05,jjjvglyvhbmb,1462827600000,2,18256818,23630125,38.841102600097656,-77.08988952636719,1460648602000,yes,1,MONDAY,DAY
199398104,39.02,-77.01,230203435,1461891600000,3,19542183,21533612,38.921722412109375,-77.04312133789062,1461362844000,yes,1,THURSDAY,EVENING
34440072,38.82,-77.06,nspxrlyvhbkc,1464388200000,5,18397756,4926852,38.86950302124024,-77.13230895996094,1459226184000,yes,1,FRIDAY,EVENING
185912481,38.86,-77.06,bcqqrlyvlbvb,1471388400000,1,19650760,24089723,38.94673156738281,-77.03294372558594,1458331830000,yes,1,TUESDAY,EVENING
10231548,38.91,-77.02,qvjpdhywcbtb,1484501400000,28,195525,1284496,38.9031982421875,-77.05191040039062,1384665646000,yes,1,SUNDAY,DAY
