11993620,230150093,1
190385632,227039341,1
78717692,skmjqlyvpbhc,1
106053632,230544388,1
18828561,qrngnlyvgbdc,1
199700730,229988642,1
10986765,230347068,1
9722726,dmgzxgyvkbkb,1
185010639,227192864,1
189955437,thxhqlywcbgb,1
187045886,mdkqslyvmbtb,1
182781376,229762554,1
68645622,229935253,1
24345102,229966750,1
13486911,229315754,1
75266612,230267364,1
27424822,230391240,1
189283337,pbpnllyvmbgc,1
59665922,qnltkjyvpbcc,1
33536452,229966750,1
103087502,fnlpqlyvjbcc,1
6590248,dcjvnlyvhbgb,1
184874579,gdxvqlyvnblb,1
120448912,228931356,1
30333432,225743157,1
43015012,229979873,1
8494865,229429564,0
183029878,230027575,0
35872672,tgvdhlywfbgb,1
3353495,230553638,1
171150502,dppzmlyvgbdc,1
8626128,dnscvkyvjbtb,1
24723412,229964238,0
195887139,228327858,0
61747122,qhkjglyvgblc,0
143132302,dcsgkjywdbfc,1
140006082,230355102,1
2769686,229396770,1
9396265,hkfqrlyvjbtb,1
38230852,229599129,1
185191174,wzxlllyvgblc,1
133224752,dfsdgjyvkbvb,1
59616222,qhwsqfyvhbcb,1
190299370,230266309,1
60508352,228954793,1
13199566,qknvqcyvnbpb,1
193956901,229973088,1
39506712,dvzxplyvkbpc,1
139743652,227841745,1
60508352,230317352,1
51401652,bbmbslywgbqb,1
147896132,229471154,1
12542589,228980766,1
12928503,230460719,1
34753592,qdmcslywfbmc,1
150803242,229396770,1
12412996,dnscvkyvpbvb,1
187077061,229341043,1
189283337,pbpnllyvnbmc,1
194057746,229964673,1
159726632,230543733,1
6258141,pmwntyvpbfb,1
4961709,230160120,1
20163201,230007564,1
201532709,230180280,1
131647302,kjmvdlyvhbxb,1
75412432,230157193,1
195511167,229471154,1
22752581,227868018,1
9931437,230046799,1
201051595,229979873,1
71631102,txctrlyvmbjb,1
30837942,230479412,1
131647302,kjmvdlyvnbzb,1
10497145,230076311,1
170209462,229396770,1
13133195,dhcmfkyvmbdb,1
137253112,kvclglyvpbgc,1
81301702,228921470,1
189086762,whlsrlyvgbjc,1
188852906,229518187,1
194922282,229871177,1
9697516,230466278,0
14664551,229965839,1
73653762,dnmnzjyvgbfc,1
3386222,230460719,0
55673812,229311592,0
184874579,gdxvqlyvpbqb,1
2585053,nmwpplyvjblb,1
7425326,zsrbslyvnbqb,1
96946972,227480232,1
124510182,228266007,1
193459101,229234829,1
185191174,nvwlllyvhbhb,1
8074077,vnrvrlywdbwb,1
12913547,230479412,1
7092500,sdrpslyvlblc,1
4425233,230324455,1
37047172,qvlsbfyvlbjb,1
973343,kvclglywfbfc,1
60397922,230053311,1
127542102,229518187,1
203110140,230088527,0
189283337,zqllllyvqbsb,1
7092500,sdrpslyvmbgb,1
12710644,qmdkscywfbkb,1
7092500,zgrpslywfbjc,1
165399132,230266501,1
57844072,vbdzmlyvhbzb,1
12456889,cgxvglyvmbkc,1
53176452,230001088,0
131647302,kjmvdlyvnbqb,1
75595152,229471154,1
146306302,mrrqnlyvjbsb,1
188470466,230553990,1
103726672,230482196,1
146306302,mrrqnlyvnbpb,1
20054621,227841745,1
195016446,229096016,1
5070834,229931453,1
12889700,fkrmslyvhbfc,1
194339916,229597982,1
36353712,dzmsdhywcbsb,1
12705443,224041566,1
36353712,dfmjzfyvmbwb,1
194059567,229486654,1
10256090,229261159,1
12412996,dnscvkyvhbxb,1
194278627,230125693,1
91622432,230374721,0
192480551,229597982,1
4409435,dcsgkjyvjbfc,1
112177462,lxrvflyvhbhb,1
203489608,228932015,1
193073529,229530496,1
3003729,230151323,1
10948933,229965839,1
131458882,230538481,1
193049073,229792733,1
203532002,230329086,1
203426482,hrlnslywdbdc,1
7618539,229096016,1
197117892,230375391,1
13133195,dhcmfkyvpbhc,1
191293063,222937524,1
133224752,dfsdgjyvnbmc,1
192440894,whlsrlyvgbjc,1
10821085,230342092,1
3990133,229762650,1
937832,mgprhlyvgbgc,1
183033467,229966750,1
12557832,vnrvrlyvmbnc,1
197611425,229964673,1
59616222,qwcvqfyvlbcb,1
9433921,229261159,1
10003993,230342092,1
183022976,cpblglyvlbvb,1
9254651,dxpdwgyvjbgc,1
12456889,cgxvglyvlbnc,1
1234386,vgrsllyvkbdb,1
13518318,229966750,1
118033722,sfvnllyvhbfb,1
131647302,qqgnthyvkbzb,1
203426482,hrlnslyvpbmb,1
130163492,229380443,1
183633437,hlkwflyvmbhb,1
75704192,tnskflyvjbbc,1
8074077,vnrvrlyvhbjb,1
6258141,pmwntyvjbvb,1
9157315,mwgzllyvjbkb,1
8124877,229762554,1
98385232,230102311,0
186876044,230391240,1
167282562,228680549,1
11270047,223477134,1
200689322,228544599,1
11791446,228809524,1
201863000,229685369,1
184745350,229760458,1
20685561,227324589,1
190287727,230192366,1
202878655,229599988,1
188064132,sqbqhlyvhbhc,1
195339336,rghtnlyvkbcc,1
14521773,pttbmlywdbxb,1
35872672,wtfdhlywfbsb,1
145233972,dcsgkjyvgblc,1
201284844,230151323,0
187894847,zsrbslyvjbtb,1
2891701,230304320,1
139366422,mqcjslyvgbhc,1
37047172,qvlsbfywcblc,1
480060,230503990,1
73291212,229176763,0
198007615,229318243,0
71631102,htdmllyvgblc,1
194105397,zjnknlyvhbdc,1
194205124,230387187,1
108524282,229046561,1
36472362,dcbgslyvhbnb,1
6218632,228408223,1
189764723,228598299,1
9385464,230275055,1
11753975,230102311,1
35872672,ghvdhlyvqbcc,1
76375042,228774043,1
201051595,230229290,1
203051818,229945002,0
197119472,229109065,1
71631102,zrqnflyvlbhb,1
6355045,230460719,1
158991612,hzkbslyvpbgc,1
6258141,rqlvllyvhbpb,1
133731962,229978446,1
43979452,230046965,1
189265173,kclsrlyvgbjc,0
45304292,230141681,1
52299692,230375391,1
201977684,230053311,1
12889700,fkrmslyvhbxb,1
91295162,228063244,1
133192162,230176219,1
96286012,230126262,1
7567888,229764240,1
200436011,229315572,1
186220219,226945220,1
8029294,229599988,1
6258141,rtsqrlyvqbdb,1
35872672,dhvdhlywcbkc,1
8381989,229721104,1
78717692,skmjqlywcbrb,1
12412996,dnscvkyvlbwb,1
14325432,229641749,1
8284563,229590832,1
9487936,dfswmlywgbxb,1
7379363,230245168,1
2505769,hkfqrlyvnbzb,1
20913491,229177367,1
36353712,dfmjzfywdbxb,1
105415122,229837614,0
9891098,dpxcjkywcbnc,1
6343104,230460719,0
52152132,230108253,1
146306302,mrrqnlyvnbgb,1
5698827,qlsdggyvnbsb,1
14318044,229487034,0
197680186,229582153,1
8839470,230197423,1
123112762,230578814,1
